YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
1998,1,1,0,30.4,22.8,67,3,240
1998,1,2,0,30.8,23.5,65,3,200
1998,1,3,0,31.3,23.8,66,3,60
1998,1,4,0,31,24,68,2,250
1998,1,5,0,31.8,24.6,60,3,70
1998,1,6,0,30.2,25,63,3,60
1998,1,7,0,31.1,24.6,65,3,20
1998,1,8,0,30.8,24.4,69,3,360
1998,1,9,0,32.2,23.8,59,3,70
1998,1,10,0,31.5,24.5,65,2,320
1998,1,11,0,32.3,24.6,69,3,250
1998,1,12,0,31.8,24.8,67,4,140
1998,1,13,0,32.7,24.8,65,3,160
1998,1,14,0,33.5,25.7,70,3,90
1998,1,15,0,31.8,26.1,75,3,240
1998,1,16,0,32.4,25.8,77,3,200
1998,1,17,0,34.4,26.4,75,3,200
1998,1,18,0,32,26.4,71,3,220
1998,1,19,0.2,29.4,25.4,78,3,250
1998,1,20,0,31.8,25,70,2,160
1998,1,21,1,28.9,25.2,80,2,270
1998,1,22,0,31.8,23.4,59,4,90
1998,1,23,0,30.9,24.9,66,3,360
1998,1,24,0,32.4,24,61,3,250
1998,1,25,0,29.2,24.7,71,2,90
1998,1,26,0,31.3,24.6,68,2,220
1998,1,27,1.8,31.2,23.7,69,3,360
1998,1,28,2.4,29,23.7,82,2,270
1998,1,29,0,32.4,24.6,64,3,70
1998,1,30,1,28.2,24.3,82,2,160
1998,1,31,0,32.3,24,62,3,340
1998,2,1,0,32.3,23.4,65,2,340
1998,2,2,0,30.6,24.5,70,3,250
1998,2,3,0,32.2,23,58,4,120
1998,2,4,0,30.8,23.4,67,3,240
1998,2,5,0,28.9,24.5,71,3,320
1998,2,6,0,29.6,24.6,75,2,220
1998,2,7,0,30.8,24.5,76,3,220
1998,2,8,0,31.8,24.6,74,2,270
1998,2,9,0,32.2,26,74,2,240
1998,2,10,0,31.7,26,75,3,160
1998,2,11,0,32.4,26.2,73,3,200
1998,2,12,0,33.4,26.2,63,3,140
1998,2,13,0,33.7,26.8,63,4,90
1998,2,14,0,32.9,25.2,64,3,140
1998,2,15,0,33,25.8,63,5,110
1998,2,16,0,33.9,26.5,64,3,90
1998,2,17,0,33.8,26.8,68,3,120
1998,2,18,0,33.9,26.8,62,4,120
1998,2,19,0,33.6,26.8,64,4,90
1998,2,20,0,33.7,26.4,67,4,140
1998,2,21,0,33.4,26.6,66,3,220
1998,2,22,0,32.8,25.4,68,3,180
1998,2,23,0,33,26,63,3,140
1998,2,24,0,33,26.8,67,3,220
1998,2,25,0,32.9,26,73,3,240
1998,2,26,0,33.1,26.5,72,3,140
1998,2,27,0,32.3,26.2,66,3,140
1998,2,28,0,33.6,26.4,67,2,250
1998,3,1,6.2,30.6,24.6,80,2,40
1998,3,2,0.2,28.3,25.2,76,2,60
1998,3,3,0,33,25.2,74,3,120
1998,3,4,0,32.9,25,65,4,160
1998,3,5,0,29.8,26.3,65,4,180
1998,3,6,0,33,25.4,59,4,160
1998,3,7,0,31.8,26,64,4,160
1998,3,8,0,32.9,26.2,63,2,90
1998,3,9,0,34.4,26,65,3,140
1998,3,10,0,32.7,26,68,3,240
1998,3,11,0,33,26.2,70,3,240
1998,3,12,0,31.5,25.8,68,4,220
1998,3,13,0,32,26.8,70,3,320
1998,3,14,0,33,27.4,70,3,200
1998,3,15,0,33.6,26,70,3,220
1998,3,16,0,33.6,25,62,3,90
1998,3,17,0,33.2,26,61,4,140
1998,3,18,0,33.4,26,66,3,160
1998,3,19,0,33.2,27.2,62,3,90
1998,3,20,0,34.6,27.7,64,4,90
1998,3,21,0,33.5,27.6,68,4,160
1998,3,22,3,31,25.9,65,3,70
1998,3,23,0,32.8,26,58,4,120
1998,3,24,0,32.8,26.2,64,4,60
1998,3,25,2.2,31.2,24.4,80,3,340
1998,3,26,0.2,33.2,26.4,73,4,110
1998,3,27,0,33.4,26.8,67,4,90
1998,3,28,2.6,33.5,26.4,61,4,160
1998,3,29,0,32.9,26.2,71,3,90
1998,3,30,0,34.2,25.8,56,4,120
1998,3,31,0,34,26,54,3,120
1998,4,1,0,33.6,26.7,67,3,240
1998,4,2,0,33,27,66,3,90
1998,4,3,0,33.6,26.4,71,3,90
1998,4,4,0,32.8,26.2,50,8,120
1998,4,5,0.4,33.8,26,65,2,70
1998,4,6,0,33.2,26,66,3,90
1998,4,7,0,33.9,26,60,3,120
1998,4,8,0,34.7,26.9,61,3,140
1998,4,9,0,33.6,26.2,61,5,120
1998,4,10,0,32.7,26.4,63,3,180
1998,4,11,0,33.6,27.4,65,5,160
1998,4,12,0,34.6,27,63,4,120
1998,4,13,0,35.4,28.1,61,3,140
1998,4,14,0.4,33.2,28,71,3,240
1998,4,15,0,32.8,27.8,70,4,240
1998,4,16,0,32.6,28,72,3,220
1998,4,17,2,31.8,27.6,76,4,220
1998,4,18,0,34.1,27.2,72,4,220
1998,4,19,0,34.8,27,60,3,90
1998,4,20,0,35.3,27,58,5,90
1998,4,21,0,33.8,27.2,59,5,90
